Working Group,Members
Brokering Governance,"Bob Muller, 
Bridget Almas, 
David Arctur, 
Enrico Boldrini, 
Francis Strobbe, 
Francoise Pearlman, 
Herman Stehouwer, 
Jay Pearlman, 
Luca Di Fiore, 
Matthew Jacobsen, 
Mattia Santoro, 
Max Craglia, 
Michael Diepenbroek, 
Mohan Ramamurthy, 
Mustapha Mokrane, 
Paolo Mazzetti, 
Rebecca Koskela, 
Rob Hooft, 
Simon Cox, 
Siri Jodha Khalsa, 
Stefano Nativi, 
Timea Biro, 
Tobias Spears, 
Wim HUGO, 
Yolanda Meleco, "
Data Citation WG,"Adam Leadbetter, 
Adam Farquhar, 
Albert Heyrovsky, 
Alessandro Sarretta, 
Alessia Bardi, 
Alison Labonte, 
Ana van Meegen, 
Ana Macario, 
AndrÌÁs Micsik, 
Andre Schaaff, 
Andrea Perego, 
Andreas Rauber, 
Andrew Treloar, 
AntÌ_nio Branco, 
Ari Asmi, 
Bert Huizing, 
christie wiley, 
Christina Elsenga, 
Chrysi Tsinaraki, 
Claudio Atzori, 
Cord Wiljes, 
Cynthia Parr, 
Cynthia Chandler, 
Danny Wallace, 
Darren Bell, 
Dave Lyons, 
Dave Connell, 
David Arctur, 
David Skinner, 
Dawn Wright, 
Dieter Van Uytvanck, 
Dong Joon Lee, 
Ìäamonn ÌÒ Tuama, 
Fabio Gennai, 
Francine Berman, 
Francis Strobbe, 
Garret McMahon, 
Gary Berg-Cross, 
Gerry Ryder, 
Godwin Yeboah, 
HÌ´kan Grudd, 
Hans Pfeiffenberger, 
Haralambos Marmanis, 
Herman Stehouwer, 
Hilary Hanahoe, 
Ian Bruno, 
Ingemar HÌ_ggstrÌ_m, 
Isao Kojima, 
J. Stephen Downie, 
Jane Hunter, 
Jeffrey Grethe, 
Jingbo Wang, 
Joachim Wackerow, 
John Watkins, 
Jonathan Tedds, 
Julia Collins, 
Julie Fukuyama, 
Kate Roberts, 
Katie Dunn, 
Kerstin Konitzer, 
Larry Lannom, 
Laura Bartolo, 
Leif Laaksonen, 
Lesley Wyborn, 
Leslie Hsu, 
Libbie Stephenson, 
Lisa Raymond, 
Louise Corti, 
Luca Di Fiore, 
Lukasz Bolikowski, 
Manjula Patel, 
Marco Scarselli, 
Mark Parsons, 
Martin Hammitzsch, 
Martina Stockhause, 
Matthew Jones, 
Matthew Viljoen, 
Matthias L. Hemmje, 
Michael Witt, 
Michel Dumontier, 
Mustapha Mokrane, 
Nasser Abu-El-Noor, 
Norman Paskin, 
Patricia Herterich, 
Paul Uhlir, 
Peter Kraker, 
Peter Kirsch, 
Peter Baumann, 
Peter Pissierssens, 
Pilar Cos Alvarez, 
Quentin Reul, 
Rachael Black, 
Reagan Moore, 
Rebecca Koskela, 
Rob Hooft, 
Robert Hanisch, 
Robert Huber, 
Roger Proctor, 
Ruth Duerr, 
Sally Rumsey, 
San Cannon, 
Sarah Potvin, 
Sarah Callaghan, 
Sarah Judson, 
Scott Brander, 
Sergio Ruiz, 
Shiva Khanal, 
Siddeswara Guru, 
Simon Hodson, 
Stefan Proell, 
Stefanie Kethers, 
Steven McEachern, 
Susan Braxton, 
Thomas Zastrow, 
Thomas Severiens, 
Tim Smith, 
Timea Biro, 
Tobias Spears, 
Tobias Weigel, 
Toshihiro Ashino, 
Weihua Lu, 
XiaoXuan Wang, 
Yolanda Meleco, 
Zaven Akopov, "
Data Description Registry Interoperability (DDRI),"Adrian Burton, 
Alejandra Gonzalez-Beltran, 
Alex Ball, 
Amber Leahey, 
Amir Aryani, 
Andre Schaaff, 
Anita de Waard, 
Anne Harvey, 
Brigitte Hausstein, 
Brigitte Joerg, 
Chris Taylor, 
Christopher Brown, 
Cynthia Parr, 
Dany Vandromme, 
Dimitris Gavrilis, 
Dominique Mariko, 
Frank Toussaint, 
Franziska Ackermann, 
Godwin Yeboah, 
Heinz Schmidt, 
Ian Fore, 
Jane Frazier, 
Jared Lyle, 
Jeffrey Grethe, 
Jingbo Wang, 
Joachim Wackerow, 
John Kaye, 
Julia Collins, 
Keith Jeffery, 
Kevin Ashley, 
Laura Molloy, 
Laura Paglione, 
Mark Donoghue, 
Martin Hammitzsch, 
Matthew Jones, 
Michel Dumontier, 
Mogens Sandfaer, 
Nick Jones, 
Nikos Manolis, 
Pan€çe Panov, 
Paolo Manghi, 
Peter Vats, 
pierre le sidaner, 
Rafael C Jimenez, 
Rebecca Koskela, 
Rob Hooft, 
Robert Hanisch, 
Ryan Scherle, 
Sergio Ruiz, 
Sherry Lake, 
Siddeswara Guru, 
Simeon Warner, 
Simon Cox, 
Stefanie Kethers, 
Sylvia Ofosua Adjei, 
Tanja Friedrich, 
Thomas Radman, 
Tim Robertson, 
Tim Austin, 
Timea Biro, 
Tobias Spears, 
Todd Vision, 
Toshihiro Ashino, 
Valeria Pesce, 
Yolanda Meleco, "
Data Foundation and Terminology WG,"Aaron Addison, 
AgnÌ¬s ANSARI, 
Alejandra Gonzalez-Beltran, 
Alun Preece, 
Amy Nurnberger, 
Andrea Perego, 
Andrew Treloar, 
Brigitte Joerg, 
Chrysi Tsinaraki, 
Cynthia Hudson Vitale, 
Dominique Mariko, 
Eleni Panagou, 
Francine Berman, 
Gary Berg-Cross, 
George Percivall, 
Heli VÌ_Ì_tÌ_jÌ_, 
Herman Stehouwer, 
Hilary Hanahoe, 
Jane Frazier, 
Jeffrey Grethe, 
Joachim Wackerow, 
Johannes Reetz, 
Larry Lannom, 
Leif Laaksonen, 
Leonardo Candela, 
Libbie Stephenson, 
Mark Leggott, 
Matthew Jones, 
Melanie Wacker, 
Natasha Bulatovic, 
Nuno Freire, 
Paul Weiss, 
Peter Fox, 
Peter Wittenburg, 
Rainer Stotzka, 
Raphael Ritz, 
Rolando Milian, 
Rudolf Husar, 
Ruth Duerr, 
Sandra Collins, 
Stefanie Kethers, 
Stephen Richard, 
Steven Lynden, 
Steven McEachern, 
Thomas Zastrow, 
Timea Biro, 
Tobias Weigel, 
Ulrich Schwardmann, 
Weihua Lu, 
Xiaogang Ma, 
Yin Chen, 
Yolanda Meleco, 
Zhijie Zhang, "
Data Type Registries WG,"Adam Leadbetter, 
Adam Shepherd, 
Amir Aryani, 
Andrea Perego, 
Andrew MAFFEI, 
Andrew Treloar, 
Beth Secrist, 
Catherine Rey, 
Christophe Blanchi, 
Chrysi Tsinaraki, 
Cynthia Chandler, 
Daan Broeder, 
Dany Vandromme, 
Dawn Wright, 
Dong Joon Lee, 
Esther DZALE YEUMO KABORE, 
Francine Berman, 
Frank Schluenzen, 
George Percivall, 
Giridhar Manepalli, 
Godwin Yeboah, 
Haralambos Marmanis, 
Herman Stehouwer, 
Hilary Hanahoe, 
Isaac Simmons, 
Jeff Braswell, 
Jeffrey Grethe, 
Joachim Wackerow, 
John Erickson, 
John Henry Scott, 
John-Paul Navarro, 
Kate Roberts, 
Kenton McHenry, 
Larry Lannom, 
Leif Laaksonen, 
Luca Di Fiore, 
Mark Leggott, 
Martin Hammitzsch, 
Matthew Turk, 
Matthew Jones, 
Michel Dumontier, 
Mikael Borg, 
Mostafa Elag, 
Natalie Meyers, 
Niall Gaffney, 
Nikos Manolis, 
Norman Paskin, 
Pan€çe Panov, 
pierre le sidaner, 
Richard Kedemi, 
Rudolf Husar, 
Simon Cox, 
Stefan Proell, 
Stefanie Kethers, 
Stephen Richard, 
Takafumi KATO, 
Thomas Zastrow, 
Tibor KÌÁlmÌÁn, 
Tim DiLauro, 
Timea Biro, 
Tobias Spears, 
Tobias Weigel, 
Ulrich Schwardmann, 
Wo Chang, 
Xiaogang Ma, 
Xiaoli Li, 
Yolanda Meleco, 
Zhijie Zhang, "
Metadata Standards Directory Working Group,"Adrian Ogletree, 
Ajinkya Prabhune, 
Alejandra Gonzalez-Beltran, 
Alessia Bardi, 
Alex Ball, 
Alun Preece, 
Amber Leahey, 
Amy Barton, 
Amy Nurnberger, 
AndrÌÁs Micsik, 
Andrea Westerinen, 
Andrea Perego, 
Andrea Medina-Smith, 
Andrew Treloar, 
Anna Milan, 
Barbara Lafuente, 
Barbora DrobÌ_kovÌÁ, 
Barry Wark, 
Bert Huizing, 
Birgit Schmidt, 
Brandon Costelloe-Kuehn, 
Brian Matthews, 
Brigitte Joerg, 
Carlos Iglesias, 
Charles Ward, 
Christina Hoppermann, 
Christine Staiger, 
Chrysi Tsinaraki, 
Cristina Perez, 
Cynthia Hudson Vitale, 
Dana Ernst, 
Dave Connell, 
Dessi Kirilova, 
Didier Leibovici, 
Dimitrios Koureas, 
Dominique Mariko, 
Dong Joon Lee, 
Erik Radio, 
Francine Berman, 
Francis Strobbe, 
Garret McMahon, 
Gema Bueno-de-la-Fuente, 
Godwin Yeboah, 
HÌ´kan Grudd, 
Helen Glaves, 
Herman Stehouwer, 
Hilary Hanahoe, 
Hyoungjoo Park, 
Ian Fore, 
Jan Dvorak, 
Jane Greenberg, 
Jeffrey Grethe, 
Jeremy Cope, 
Jian Qin, 
Jingbo Wang, 
Joachim Wackerow, 
John Graybeal, 
John Kaye, 
John-Paul Navarro, 
Juha Hakala, 
Juha Muilu, 
Julia Collins, 
Julie Fukuyama, 
Karrie Peterson, 
Kashif Iqbal, 
Kate Alderete, 
Kate Roberts, 
Katie Dunn, 
Keith Jeffery, 
Kevin Ashley, 
Kimmo Koskinen, 
Laura Paglione, 
Leif Laaksonen, 
Lukasz Bolikowski, 
Margie Smith, 
Marie-Christine Jacquemot-Perbal, 
Marion Wittenberg, 
Mark Musen, 
Mark Parsons, 
Mark Leggott, 
Martin Hammitzsch, 
Matthew Turk, 
Matthew Jones, 
Naresh Kumar, 
Niall Gaffney, 
Nikos Houssos, 
Panorea Gaitanou, 
Phil Journeau, 
Quentin Reul, 
Rafael C Jimenez, 
Rainer Stotzka, 
Ralph MÌ_ller-Pfefferkorn, 
Rebecca Koskela, 
Reyna Jenkyns, 
Rhona Phipps, 
Rob Hooft, 
Robert Hanisch, 
Roxanne Wyns, 
Sandra Collins, 
Sarah Potvin, 
Sarah Judson, 
Scott Carlson, 
Siddeswara Guru, 
Simon Hodson, 
Sonia Stefanizzi, 
Stefanie Kethers, 
Steven McEachern, 
Susanna-Assunta Sansone, 
Tanja Friedrich, 
Tho Nguyen, 
Thomas Severiens, 
Thomas Zastrow, 
Timea Biro, 
Tobias Spears, 
Tony Fast, 
Veerle Van den Eynden, 
Volker Hartmann, 
Weihua Lu, 
Xiaogang Ma, 
Xiaoli Li, 
Yolanda Meleco, 
Zaven Akopov, 
Zhijie Zhang, "
PID Information Types WG,"Albert Heyrovsky, 
Alejandra Gonzalez-Beltran, 
Amir Aryani, 
Ana Macario, 
Andrea Perego, 
Andrew Treloar, 
Brigitte Joerg, 
Christine Staiger, 
Claudio Atzori, 
Daan Broeder, 
Dany Vandromme, 
Donat Agosti, 
Dong Joon Lee, 
Eleni Panagou, 
Fabio Gennai, 
Francine Berman, 
Francis Strobbe, 
Gary Berg-Cross, 
Herman Stehouwer, 
Hilary Hanahoe, 
Ingemar HÌ_ggstrÌ_m, 
Jeffrey Grethe, 
Jingbo Wang, 
Joachim Wackerow, 
Johannes Reetz, 
John Erickson, 
John Henry Scott, 
John-Paul Navarro, 
Juha Hakala, 
Kerstin Lehnert, 
Larry Lannom, 
Lars G. Svensson, 
Leif Laaksonen, 
Lesley Wyborn, 
Luca Di Fiore, 
Manjula Patel, 
Mark Leggott, 
Mark Parsons, 
Martin Hammitzsch, 
Matthew Jones, 
Matthew Viljoen, 
Matthias Razum, 
Michel Dumontier, 
Natasha Bulatovic, 
Peter Wittenburg, 
Rainer Stotzka, 
Rebecca Grant, 
Robert Arko, 
Sandra Collins, 
Scott Brim, 
Stefan Proell, 
Stefanie Kethers, 
Stephen Richard, 
Thomas Zastrow, 
Tibor KÌÁlmÌÁn, 
Tim DiLauro, 
Timea Biro, 
Tobias Weigel, 
Ulrich Schwardmann, 
Weihua Lu, 
Wo Chang, 
Xiaogang Ma, 
Yolanda Meleco, "
Practical Policy WG,"AgnÌ¬s ANSARI, 
Ajinkya Prabhune, 
Albert Heyrovsky, 
Andrea Westerinen, 
Andrew Treloar, 
Anwar Vahed, 
Barbara Sierman, 
Catherine Jones, 
Christoph Becker, 
Claudio Cacciari, 
David AntoÅÁ, 
Fernando Aguilar, 
Francine Berman, 
Franziska Ackermann, 
Gary Berg-Cross, 
Giuseppe Fiameni, 
Godwin Yeboah, 
Herman Stehouwer, 
Hilary Hanahoe, 
Holger Brocks, 
Jakub Peisar, 
Janez ÅÊtebe, 
Jedrzej Rybicki, 
Jeremy Cook, 
Jingbo Wang, 
Johannes Reetz, 
Jonathan Crabtree, 
Larry Lannom, 
Leif Laaksonen, 
Lukas Hejtmanek, 
Marcio Faerman, 
Marco Grossi, 
Mark Leggott, 
Mark Hedges, 
Martin Hammitzsch, 
Matthias L. Hemmje, 
Niall Gaffney, 
Nick Jones, 
Patrick Fuhrmann, 
Paul Bern, 
Peter Wittenburg, 
Petr Benedikt, 
Rainer Stotzka, 
Ralph MÌ_ller-Pfefferkorn, 
Reagan Moore, 
Sarah Judson, 
Scott Brim, 
Sebastian Palucha, 
Simon Hodson, 
Stefanie Kethers, 
Suchith Anand, 
Talapady Bhat, 
Thomas Zastrow, 
Tibor KÌÁlmÌÁn, 
Timea Biro, 
Tobias Weigel, 
Wolfram Horstmann, 
Yolanda Meleco, 
Zoran Bekic, "
RDA/CODATA Summer Schools in Data Science and Cloud Computing in the Developing World,"Andrew Harrison, 
Becca Wilson, 
Benjamin Branch, 
Charalampos Thanopoulos, 
Chenzhou Cui, 
Herman Stehouwer, 
Hugh Shanahan, 
Peter Fox, 
Rainer Stotzka, 
Sergio Serra, 
Shiva Khanal, 
Simon Hodson, 
Steve Brewer, 
Timea Biro, 
Xiaogang Ma, 
Yolanda Meleco, 
RDA/WDS Publishing Data Bibliometrics WG, 
Alejandra Gonzalez-Beltran, 
Ana Macario, 
Anna Clements, 
Christina Elsenga, 
Claudia Kramer, 
Cynthia Chandler, 
Daniel S. Katz, 
Eefke Smit, 
Fiona Murphy, 
HÌ´kan Grudd, 
Hannelore Vanhaverbeke, 
Haralambos Marmanis, 
Hylke Koers, 
Ian Bruno, 
Ingeborg Meijer, 
Ingrid Dillo, 
Jeffrey Grethe, 
Jo McEntyre, 
Jochen Schirrwagen, 
John Kratz, 
Jonathan Tedds, 
Kerstin Lehnert, 
Lesley Wyborn, 
Lyubomir Penev, 
Martina Stockhause, 
Mary Vardigan, 
Michael Diepenbroek, 
Mustapha Mokrane, 
Nigel Robinson, 
Paolo Missier, 
Peter Kraker, 
Peter Fox, 
Pilar Cos Alvarez, 
Robert Arko, 
Rorie Edmunds, 
Sarah Potvin, 
Sarah Callaghan, 
Simon Hodson, 
Suenje DT, 
Timea Biro, 
Todd Carpenter, 
Varsha Khodiyar, 
Yolanda Meleco, "
RDA/WDS Publishing Data Services WG,"Adrian Burton, 
Amir Aryani, 
Arnold Rots, 
Arthur Smith, 
Carly Strasser, 
Carole Goble, 
Caroline Martin, 
Claire Austin, 
David Arctur, 
Eefke Smit, 
HÌ´kan Grudd, 
Haralambos Marmanis, 
Howard Ratner, 
Hua Xu, 
Hylke Koers, 
Ian Bruno, 
Ingrid Dillo, 
Jamus Collier, 
Jeffrey Grethe, 
Jingbo Wang, 
Jo McEntyre, 
Joachim Wackerow, 
Johanna Schwarz, 
John Helly, 
Jonathan Tedds, 
Juanle Wang, 
Kerstin Lehnert, 
Laurel Haak, 
Lyubomir Penev, 
Mark Donoghue, 
Martina Stockhause, 
Michael Diepenbroek, 
Mohan Ramamurthy, 
Mustapha Mokrane, 
Nigel Robinson, 
Paolo Manghi, 
Patricia Cruse, 
Peter Rose, 
Peter Fox, 
Rainer Stotzka, 
Richard Kidd, 
Rorie Edmunds, 
Sarah Callaghan, 
Sheila Morrissey, 
Siddeswara Guru, 
Simon Hodson, 
Suenje DT, 
Tim DiLauro, 
Timea Biro, 
Yolanda Meleco, "
