Id,Label,frequency,type,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,Clustering Coefficient,Number of triangles,Weighted Clustering Coefficient,Strenght,Eigenvector Centrality
Marcio Faerman,Marcio Faerman,2,Members,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
Peter Fox,Peter Fox,8,Members,16,61.0,3.0,1.9786666666666666,0.0,286,1.0,120,1.0,61.0,0.15845392534379651
Roger Proctor,Roger Proctor,3,Members,4,12.0,3.0,2.024,0.0,286,1.0,6,1.0,12.0,0.04324109275213138
Angus Whyte,Angus Whyte,3,Members,5,15.0,3.0,2.024,0.0,440,1.0,10,1.0,15.0,0.047652782805676856
christie wiley,christie wiley,2,Members,0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0
Laura Soito,Laura Soito,5,Members,11,40.0,3.0,2.005333333333333,6.8845238095238095,79,0.6545454545454545,36,0.7,40.0,0.05258960668536861
Andrew Davison,Andrew Davison,1,Members,0,0.0,0.0,0.0,0.0,2,0.0,0,0.0,0.0,0.0
LuÃ_s Alves,LuÃ_s Alves,1,Members,0,0.0,0.0,0.0,0.0,3,0.0,0,0.0,0.0,0.0
Research data needs of the Photon and Neutron Science community,Research data needs of the Photon and Neutron Science community,1,Working Group,0,0.0,0.0,0.0,0.0,4,0.0,0,0.0,0.0,0.0
Eileen Harrington,Eileen Harrington,1,; Members,0,0.0,0.0,0.0,0.0,5,0.0,0,0.0,0.0,0.0
Lisa Neidert,Lisa Neidert,1,; Members,0,0.0,0.0,0.0,0.0,6,0.0,0,0.0,0.0,0.0
Esther Conway,Esther Conway,2,; Members,0,0.0,0.0,0.0,0.0,7,0.0,0,0.0,0.0,0.0
Louise Corti,Louise Corti,1,; Members,0,0.0,0.0,0.0,0.0,8,0.0,0,0.0,0.0,0.0
Peter Kirsch,Peter Kirsch,1,; Members,0,0.0,0.0,0.0,0.0,9,0.0,0,0.0,0.0,0.0
Amye Kenall,Amye Kenall,3,; Members,4,12.0,3.0,2.021333333333333,0.0,489,1.0,6,1.0,12.0,0.04108735129180666
Nikos Manouselis,Nikos Manouselis,1,; Members,0,0.0,0.0,0.0,0.0,10,0.0,0,0.0,0.0,0.0
Wolfgang Zenk-MÃ¶ltgen,Wolfgang Zenk-MÃ¶ltgen,3,; Members,11,33.0,3.0,2.002666666666667,0.0,489,1.0,55,0.99999994,33.0,0.09846058459072292
Jedrzej Rybicki,Jedrzej Rybicki,1,; Members,0,0.0,0.0,0.0,0.0,11,0.0,0,0.0,0.0,0.0
Giuseppe Andronico,Giuseppe Andronico,1,; Members,0,0.0,0.0,0.0,0.0,12,0.0,0,0.0,0.0,0.0
Jennifer Boyd,Jennifer Boyd,1,; Members,0,0.0,0.0,0.0,0.0,13,0.0,0,0.0,0.0,0.0
Adrian Ogletree,Adrian Ogletree,1,; Members,0,0.0,0.0,0.0,0.0,14,0.0,0,0.0,0.0,0.0
Heinz Schmidt,Heinz Schmidt,1,; Members,0,0.0,0.0,0.0,0.0,15,0.0,0,0.0,0.0,0.0
Dietrich Schroeder,Dietrich Schroeder,1,; Members,0,0.0,0.0,0.0,0.0,16,0.0,0,0.0,0.0,0.0
Stephen Slota,Stephen Slota,1,; Members,0,0.0,0.0,0.0,0.0,17,0.0,0,0.0,0.0,0.0
Brigitte Hausstein,Brigitte Hausstein,2,; Members,0,0.0,0.0,0.0,0.0,18,0.0,0,0.0,0.0,0.0
